,customer_id,suburb_state
0,CUST00000000,PERTH_WA
1,CUST00000001,ROBINA_QLD
2,CUST00000002,SOUTH YARRA_VIC
3,CUST00000003,RICHMOND_VIC
7,CUST00000007,SHEPPARTON_VIC
8,CUST00000008,DANDENONG_VIC
9,CUST00000009,PENRITH_NSW
10,CUST00000010,BUDERIM_QLD
11,CUST00000011,FITZROY NORTH_VIC
12,CUST00000012,YARRAVILLE_VIC
13,CUST00000013,DARLINGHURST_NSW
14,CUST00000014,COBURG_VIC
15,CUST00000015,MAYLANDS_WA
16,CUST00000016,TORQUAY_VIC
17,CUST00000017,MOSMAN_NSW
18,CUST00000018,GLENROY_VIC
20,CUST00000020,ORANGE_NSW
21,CUST00000021,MAROUBRA_NSW
22,CUST00000022,SCARBOROUGH_WA
23,CUST00000023,SHEPPARTON_VIC
24,CUST00000024,SOUTH YARRA_VIC
26,CUST00000026,PRESTON_VIC
27,CUST00000027,EPPING_NSW
28,CUST00000028,SOUTHBANK_VIC
29,CUST00000029,HOMEBUSH_NSW
31,CUST00000031,FRANKSTON_VIC
32,CUST00000032,ADELAIDE_SA
33,CUST00000033,HAWTHORN EAST_VIC
34,CUST00000034,KEW_VIC
35,CUST00000035,CAMPBELLTOWN_NSW
36,CUST00000036,MELBOURNE_VIC
38,CUST00000038,DIANELLA_WA
39,CUST00000039,SOUTHBANK_VIC
40,CUST00000040,MELBOURNE_VIC
42,CUST00000042,CHATSWOOD_NSW
43,CUST00000043,COFFS HARBOUR_NSW
47,CUST00000047,MILDURA_VIC
48,CUST00000048,HORNSBY_NSW
49,CUST00000049,MERNDA_VIC
50,CUST00000050,CABOOLTURE_QLD
51,CUST00000051,GUILDFORD_NSW
52,CUST00000052,UPPER COOMERA_QLD
53,CUST00000053,CHELTENHAM_VIC
54,CUST00000054,POTTS POINT_NSW
55,CUST00000055,BLACKTOWN_NSW
57,CUST00000057,WATERLOO_NSW
58,CUST00000058,SEAFORD_VIC
59,CUST00000059,NEWTOWN_NSW
61,CUST00000061,MELBOURNE_VIC
62,CUST00000062,FORTITUDE VALLEY_QLD
63,CUST00000063,SHEPPARTON_VIC
64,CUST00000064,ORANGE_NSW
65,CUST00000065,GOSNELLS_WA
67,CUST00000067,COOMERA_QLD
68,CUST00000068,SYDNEY_NSW
69,CUST00000069,DANDENONG_VIC
70,CUST00000070,ST KILDA_VIC
71,CUST00000071,SOUTH MELBOURNE_VIC
73,CUST00000073,FITZROY NORTH_VIC
74,CUST00000074,LIVERPOOL_NSW
75,CUST00000075,RESERVOIR_VIC
76,CUST00000076,REDFERN_NSW
77,CUST00000077,GLENROY_VIC
78,CUST00000078,ASHFIELD_NSW
80,CUST00000080,DOREEN_VIC
81,CUST00000081,SURFERS PARADISE_QLD
83,CUST00000083,SOUTHBANK_VIC
84,CUST00000084,PORT MELBOURNE_VIC
85,CUST00000085,BANKSTOWN_NSW
86,CUST00000086,WARRNAMBOOL_VIC
87,CUST00000087,SHEPPARTON_VIC
88,CUST00000088,BRUNSWICK EAST_VIC
90,CUST00000090,PARRAMATTA_NSW
91,CUST00000091,NORTH MELBOURNE_VIC
93,CUST00000093,SOUTH YARRA_VIC
94,CUST00000094,RICHMOND_VIC
95,CUST00000095,MELBOURNE_VIC
98,CUST00000098,SOUTH YARRA_VIC
100,CUST00000100,GUILDFORD_NSW
101,CUST00000101,DANDENONG_VIC
103,CUST00000103,GLEN WAVERLEY_VIC
105,CUST00000105,MELBOURNE_VIC
106,CUST00000106,CASTLE HILL_NSW
107,CUST00000107,SOUTHBANK_VIC
108,CUST00000108,HOMEBUSH_NSW
109,CUST00000109,RANDWICK_NSW
110,CUST00000110,REDBANK PLAINS_QLD
111,CUST00000111,SOUTH YARRA_VIC
113,CUST00000113,NEWTOWN_NSW
114,CUST00000114,LAVINGTON_NSW
115,CUST00000115,MOSMAN_NSW
116,CUST00000116,MELBOURNE_VIC
117,CUST00000117,PARRAMATTA_NSW
118,CUST00000118,ST KILDA_VIC
119,CUST00000119,MILL PARK_VIC
121,CUST00000121,OCEAN GROVE_VIC
124,CUST00000124,DOREEN_VIC
125,CUST00000125,UPPER COOMERA_QLD
126,CUST00000126,HOPPERS CROSSING_VIC
127,CUST00000127,AUBURN_NSW
128,CUST00000128,ST KILDA_VIC
130,CUST00000130,PRAHRAN_VIC
131,CUST00000131,CAMPBELLTOWN_NSW
132,CUST00000132,BRUNSWICK EAST_VIC
134,CUST00000134,BRUNSWICK WEST_VIC
135,CUST00000135,GUILDFORD_NSW
136,CUST00000136,MAROOCHYDORE_QLD
137,CUST00000137,ST KILDA_VIC
139,CUST00000139,DIANELLA_WA
140,CUST00000140,GUILDFORD_NSW
141,CUST00000141,PRESTON_VIC
142,CUST00000142,LANGWARRIN_VIC
144,CUST00000144,GUILDFORD_NSW
145,CUST00000145,WOLLONGONG_NSW
146,CUST00000146,UPPER COOMERA_QLD
147,CUST00000147,NARRE WARREN_VIC
148,CUST00000148,RICHMOND_VIC
149,CUST00000149,MORLEY_WA
150,CUST00000150,RESERVOIR_VIC
151,CUST00000151,ORANGE_NSW
152,CUST00000152,MILL PARK_VIC
154,CUST00000154,CARLTON_VIC
155,CUST00000155,WERRIBEE_VIC
156,CUST00000156,EPPING_VIC
157,CUST00000157,ST KILDA EAST_VIC
158,CUST00000158,ELWOOD_VIC
159,CUST00000159,COOMERA_QLD
160,CUST00000160,WENTWORTH POINT_NSW
161,CUST00000161,MACQUARIE PARK_NSW
162,CUST00000162,GOSNELLS_WA
163,CUST00000163,VICTORIA PARK_WA
164,CUST00000164,LIVERPOOL_NSW
165,CUST00000165,CAMPSIE_NSW
166,CUST00000166,NERANG_QLD
167,CUST00000167,MAROOCHYDORE_QLD
169,CUST00000169,GLENORCHY_TAS
170,CUST00000170,PERTH_WA
171,CUST00000171,CROYDON_VIC
172,CUST00000172,CHERMSIDE_QLD
173,CUST00000173,BRUNSWICK WEST_VIC
175,CUST00000175,NUNDAH_QLD
176,CUST00000176,DOCKLANDS_VIC
177,CUST00000177,WOLLI CREEK_NSW
178,CUST00000178,BRUNSWICK EAST_VIC
179,CUST00000179,RESERVOIR_VIC
180,CUST00000180,BUDERIM_QLD
181,CUST00000181,CLAYTON_VIC
182,CUST00000182,HOPPERS CROSSING_VIC
185,CUST00000185,NERANG_QLD
186,CUST00000186,REDBANK PLAINS_QLD
187,CUST00000187,POINT COOK_VIC
188,CUST00000188,WERRIBEE_VIC
189,CUST00000189,MELBOURNE_VIC
190,CUST00000190,SYDNEY_NSW
191,CUST00000191,GLENORCHY_TAS
192,CUST00000192,WYNDHAM VALE_VIC
193,CUST00000193,BERWICK_VIC
194,CUST00000194,CRAIGIEBURN_VIC
195,CUST00000195,CHATSWOOD_NSW
196,CUST00000196,CARLTON_VIC
198,CUST00000198,CAMPBELLTOWN_NSW
199,CUST00000199,MELBOURNE_VIC
203,CUST00000203,CABOOLTURE_QLD
204,CUST00000204,COFFS HARBOUR_NSW
205,CUST00000205,NORTH LAKES_QLD
206,CUST00000206,CRONULLA_NSW
209,CUST00000209,ADELAIDE_SA
210,CUST00000210,MORLEY_WA
211,CUST00000211,MELBOURNE_VIC
212,CUST00000212,PARRAMATTA_NSW
216,CUST00000216,MANLY_NSW
217,CUST00000217,GLEN IRIS_VIC
218,CUST00000218,SUNBURY_VIC
219,CUST00000219,CAMPSIE_NSW
220,CUST00000220,NORTH MELBOURNE_VIC
221,CUST00000221,NORTH LAKES_QLD
222,CUST00000222,WYNDHAM VALE_VIC
223,CUST00000223,PALM BEACH_QLD
224,CUST00000224,MORAYFIELD_QLD
225,CUST00000225,WEST MELBOURNE_VIC
226,CUST00000226,RESERVOIR_VIC
227,CUST00000227,DIANELLA_WA
228,CUST00000228,SURFERS PARADISE_QLD
229,CUST00000229,NORTH MELBOURNE_VIC
230,CUST00000230,ADELAIDE_SA
232,CUST00000232,CRONULLA_NSW
233,CUST00000233,WESTMEAD_NSW
234,CUST00000234,SOUTH YARRA_VIC
236,CUST00000236,GRIFFIN_QLD
237,CUST00000237,KALLANGUR_QLD
240,CUST00000240,NORTH MELBOURNE_VIC
241,CUST00000241,MELBOURNE_VIC
242,CUST00000242,FOOTSCRAY_VIC
244,CUST00000244,CHATSWOOD_NSW
245,CUST00000245,CARRUM DOWNS_VIC
247,CUST00000247,ARMIDALE_NSW
